400
S @ 9 13
S # 6 10
S ! 10 16
S * 2 6
S ^ 1 3
S # 9 14
S ^ 8 13
S = 10 11
S | 8 9
S + 5 9
S ! 3 4
S & 4 6
S ! 9 14
S ^ 8 10
S & 5 8
S ~ 9 10
S @ 3 4
S ! 1 2
S # 2 4
S ~ 2 5
S # 9 12
S @ 1 7
S ! 3 6
S | 3 7
S % 7 13
S - 6 10
S = 4 7
S / 2 3
S | 5 6
S @ 4 10
S ! 7 10
S % 10 11
S & 6 8
S = 2 3
S + 10 16
S # 3 6
S $ 3 8
S ! 1 4
S | 9 13
S + 4 9
S ! 2 8
S $ 3 6
S $ 8 11
S = 2 6
S = 1 6
S ^ 2 7
S @ 9 15
S * 10 16
S & 4 6
S ^ 8 11
S ! 3 9
S - 8 11
S = 3 4
S ! 3 8
S ~ 6 9
S # 6 8
S = 6 11
S ~ 4 9
S # 4 5
S = 8 10
S - 4 8
S | 7 10
S - 6 10
S + 8 11
S ~ 7 11
S / 4 8
S - 6 8
S | 9 15
S = 8 9
S * 1 6
S / 1 3
S = 9 15
S ~ 9 15
S * 3 5
S + 2 6
S | 4 8
S & 3 9
S - 8 14
S $ 3 7
S # 10 14
S + 10 11
S @ 3 4
S - 8 13
S $ 4 9
S ~ 9 13
S & 10 15
S + 1 5
S ^ 6 12
S # 4 5
S - 1 4
S ~ 4 9
S ! 6 8
S % 4 5
S ^ 7 9
S $ 8 13
S / 3 7
S & 9 14
S + 3 5
S ~ 9 14
S + 2 3
S ~ 8 10
S | 6 12
S | 7 9
S / 4 6
S % 2 6
S ~ 6 8
S % 2 3
S | 8 11
S = 2 7
S ^ 1 7
S & 9 14
S & 7 13
S % 10 16
S | 10 11
S @ 3 6
S & 8 14
S - 9 11
S & 4 6
S ! 1 2
S # 8 14
S - 3 8
S @ 2 3
S - 3 6
S $ 1 4
S | 6 11
S | 10 15
S ~ 2 8
S % 4 8
S & 3 7
S + 10 16
S ^ 4 7
S $ 10 12
S - 9 15
S / 4 5
S = 2 4
S ~ 1 6
S ^ 2 4
S ! 5 6
S + 1 6
S ~ 1 6
S / 5 9
S @ 2 3
S $ 4 9
S ^ 6 7
S * 3 7
S | 9 13
S @ 8 10
S ~ 10 13
S % 4 7
S ^ 2 6
S - 1 2
S & 4 6
S / 10 14
S & 4 6
S / 6 11
S | 5 9
S ^ 1 4
S % 4 5
S - 1 3
S + 2 3
S & 5 9
S - 6 9
S * 3 8
S | 6 7
S / 8 10
S = 9 13
S / 6 8
S @ 10 11
S % 3 5
S & 4 6
S - 4 7
S | 4 5
S ^ 2 6
S ~ 5 9
S # 7 12
S - 6 10
S ^ 5 7
S ~ 2 5
S / 1 7
S & 3 7
S % 3 4
S * 6 10
S % 9 10
S # 4 5
S / 8 12
S % 9 11
S @ 7 10
S ! 2 7
S ^ 9 10
S $ 7 12
S / 2 4
S ! 8 12
S @ 8 11
S # 4 5
S + 4 8
S - 10 14
S - 8 9
S # 7 13
S & 1 5
S % 9 15
S @ 1 5
S % 6 8
S / 9 11
S ^ 8 10
S + 1 3
S * 4 5
S % 8 10
S * 5 6
S = 7 9
S / 7 8
S = 9 10
S & 4 7
S $ 1 2
S $ 2 5
S ! 7 10
S | 7 13
S ^ 8 10
S & 10 14
S % 7 9
S + 7 11
S + 6 10
S % 7 12
S & 8 13
S * 1 5
S / 2 3
S & 9 12
S / 3 7
S # 3 7
S @ 10 14
S $ 6 11
S = 5 10
S * 6 12
S @ 1 4
S ! 5 7
S - 7 11
S / 10 11
S ~ 4 10
S - 2 4
S = 10 15
S ~ 3 8
S * 3 9
S | 4 9
S / 1 2
S + 6 12
S / 1 7
S * 5 11
S $ 10 13
S @ 7 10
S $ 3 6
S @ 8 10
S $ 7 10
S = 6 7
S $ 7 10
S # 8 13
S = 6 10
S * 10 11
S # 5 10
S + 9 12
S ! 4 9
S @ 10 15
S $ 3 9
S * 3 8
S # 8 12
S = 5 11
S / 9 12
S ~ 1 4
S # 4 7
S = 5 11
S | 5 9
S = 6 8
S ! 7 13
S ^ 1 4
S ! 2 5
S ^ 7 13
S * 2 7
S $ 8 14
S $ 1 2
S $ 2 3
S * 8 9
S & 9 15
S @ 6 11
S * 9 13
S & 5 7
S ~ 5 6
S + 10 11
S + 6 7
S / 7 11
S $ 3 8
S $ 4 9
S = 7 13
S @ 7 12
S # 7 9
S % 5 6
S % 8 12
S + 3 8
S - 5 9
S ! 4 10
S @ 3 4
S ~ 5 10
S & 10 16
S @ 2 5
S ! 10 14
S # 1 4
S ~ 1 4
S ~ 10 12
S % 3 8
S - 5 10
S * 2 7
S & 5 7
S + 9 14
S ~ 8 10
S ^ 6 10
S ! 2 3
S / 8 12
S * 2 6
S ^ 2 3
S @ 3 6
S * 5 7
S + 2 7
S * 4 8
S ! 1 7
S * 4 10
S @ 5 8
S ! 3 4
S | 2 6
S ! 1 5
S = 10 14
S = 5 6
S * 10 14
S & 6 12
S + 9 12
S ~ 7 11
S % 7 8
S # 7 8
S * 5 9
S - 9 12
S % 2 8
S ~ 1 4
S % 8 11
S + 2 3
S $ 9 10
S ^ 5 6
S ^ 1 7
S * 2 4
S # 6 7
S | 6 12
S + 9 14
S ! 6 12
S ^ 9 14
S / 7 13
S - 5 6
S % 6 12
S | 9 13
S $ 5 11
S # 5 6
S ^ 7 9
S % 3 4
S - 9 11
S @ 10 16
S / 9 13
S + 10 12
S / 3 6
S / 8 10
S | 9 11
S $ 3 6
S + 2 4
S | 2 7
S ^ 8 12
S # 5 11
S ! 7 13
S & 4 10
S % 3 4
S ^ 3 5
S = 5 8
S | 7 10
S ^ 2 7
S = 3 8
S $ 5 7
S $ 7 10
S % 6 10
S | 1 7
S @ 3 7
S @ 1 6
S # 10 16
S ~ 2 4
S # 8 14
S & 4 7
S @ 4 6
S - 4 5
S $ 9 11
S * 7 10
S * 9 15
S = 10 14
S # 3 7
S + 8 10
S ! 9 12
S | 9 11
S # 6 11
S % 2 6
S - 1 5
