200
N 9
N 6
N 2
N 6
N 1
N 1
N 2
N 8
N 9
N 3
N 6
N 5
N 12
N 9
N 3
N 2
N 4
N 11
N 15
N 1
N 1
N 3
N 1
N 13
N 13
N 12
N 10
N 8
N 13
N 6
N 1
N 11
N 12
N 13
N 8
N 12
N 9
N 6
N 14
N 4
N 4
N 2
N 9
N 15
N 5
N 12
N 2
N 12
N 6
N 1
N 11
N 9
N 3
N 11
N 13
N 12
N 11
N 3
N 12
N 10
N 7
N 14
N 15
N 14
N 1
N 13
N 6
N 13
N 11
N 2
N 15
N 11
N 6
N 10
N 2
N 13
N 2
N 2
N 7
N 4
N 3
N 3
N 5
N 8
N 1
N 5
N 10
N 4
N 12
N 13
N 14
N 15
N 14
N 2
N 11
N 12
N 2
N 5
N 5
N 4
N 14
N 15
N 3
N 8
N 11
N 4
N 3
N 7
N 9
N 13
N 12
N 7
N 11
N 3
N 15
N 3
N 3
N 1
N 10
N 15
N 8
N 1
N 11
N 15
N 9
N 1
N 14
N 8
N 6
N 6
N 10
N 7
N 3
N 13
N 8
N 8
N 15
N 7
N 13
N 15
N 13
N 14
N 7
N 14
N 12
N 10
N 12
N 3
N 11
N 5
N 5
N 13
N 1
N 10
N 14
N 4
N 9
N 8
N 11
N 14
N 4
N 8
N 14
N 7
N 3
N 5
N 1
N 10
N 13
N 4
N 7
N 4
N 9
N 3
N 2
N 10
N 6
N 9
N 12
N 6
N 9
N 8
N 8
N 3
N 1
N 8
N 15
N 10
N 2
N 2
N 3
N 9
N 3
N 2
N 2
N 12
N 1
N 3
N 10
N 5
